,experiment,response time (ms),Subject,block,sortCol,typeOrder
97,200 ms ,262.63552,2,2,c,True
98,200 ms ,277.34016,2,2,c,True
99,200 ms ,258.90816,2,2,c,True
100,400 ms ,255.38559999999998,2,1,d,True
101,400 ms ,266.93632,2,1,d,True
102,400 ms ,245.43232,2,1,d,True
103,400 ms ,242.93376,2,1,d,True
104,400 ms ,169.20576,2,1,d,True
105,400 ms ,231.91552,2,1,d,True
106,400 ms ,181.28896,2,1,d,True
107,400 ms ,307.52768000000003,2,1,d,True
108,400 ms ,287.17056,2,1,d,True
109,400 ms ,244.98175999999998,2,1,d,True
110,400 ms ,257.88415999999995,2,1,d,True
111,400 ms ,311.13216,2,1,d,True
112,400 ms ,251.16672,2,1,d,True
113,400 ms ,239.65696,2,1,d,True
114,400 ms ,380.10880000000003,2,1,d,True
115,400 ms ,306.87232,2,1,d,True
116,400 ms ,269.35296,2,1,d,True
117,400 ms ,285.12256,2,1,d,True
118,400 ms ,289.42336,2,1,d,True
119,400 ms ,214.2208,2,1,d,True
100,400 ms ,210.1248,2,2,d,True
101,400 ms ,255.30367999999999,2,2,d,True
102,400 ms ,236.78976,2,2,d,True
103,400 ms ,269.96736,2,2,d,True
104,400 ms ,273.40799999999996,2,2,d,True
105,400 ms ,295.97696,2,2,d,True
106,400 ms ,292.37248,2,2,d,True
107,400 ms ,264.6016,2,2,d,True
108,400 ms ,250.26559999999998,2,2,d,True
109,400 ms ,243.9168,2,2,d,True
110,400 ms ,224.66559999999998,2,2,d,True
111,400 ms ,265.74848000000003,2,2,d,True
112,400 ms ,346.84927999999996,2,2,d,True
113,400 ms ,286.96576,2,2,d,True
114,400 ms ,314.73664,2,2,d,True
115,400 ms ,239.45216,2,2,d,True
116,400 ms ,279.47008,2,2,d,True
117,400 ms ,354.22208,2,2,d,True
118,400 ms ,249.56928,2,2,d,True
119,400 ms ,247.15264000000002,2,2,d,True
120,800 ms ,317.68575999999996,2,1,e,True
121,800 ms ,403.82464,2,1,e,True
122,800 ms ,198.16448,2,1,e,True
123,800 ms ,292.41344000000004,2,1,e,True
124,800 ms ,218.112,2,1,e,True
125,800 ms ,179.93728000000002,2,1,e,True
126,800 ms ,487.95648,2,1,e,True
127,800 ms ,297.86111999999997,2,1,e,True
128,800 ms ,239.12448,2,1,e,True
129,800 ms ,316.00640000000004,2,1,e,True
130,800 ms ,270.25408,2,1,e,True
131,800 ms ,290.93888,2,1,e,True
132,800 ms ,210.57536,2,1,e,True
133,800 ms ,262.63552,2,1,e,True
134,800 ms ,253.41952,2,1,e,True
135,800 ms ,271.19616,2,1,e,True
136,800 ms ,296.30464,2,1,e,True
137,800 ms ,284.18048,2,1,e,True
138,800 ms ,319.16032,2,1,e,True
139,800 ms ,280.49408,2,1,e,True
120,800 ms ,323.1744,2,2,e,True
121,800 ms ,235.19232000000002,2,2,e,True
122,800 ms ,230.31808,2,2,e,True
123,800 ms ,254.1568,2,2,e,True
124,800 ms ,252.84607999999997,2,2,e,True
