,experiment,response time (ms),Subject,block,sortCol,typeOrder
85,200 ms ,575.44704,1,1,c,0
0,tactor,726.13888,2,1,a,1
1,tactor,181.2070400000001,2,1,a,1
2,tactor,130.99008000000012,2,1,a,1
3,tactor,192.06144000000003,2,1,a,1
4,tactor,241.29535999999985,2,1,a,1
5,tactor,179.77344000000016,2,1,a,1
6,tactor,230.56384000000008,2,1,a,1
7,tactor,206.31551999999985,2,1,a,1
8,tactor,223.15007999999992,2,1,a,1
9,tactor,197.4271999999999,2,1,a,1
10,tactor,193.12640000000013,2,1,a,1
11,tactor,192.75775999999988,2,1,a,1
12,tactor,236.01152000000002,2,1,a,1
13,tactor,219.5046399999999,2,1,a,1
14,tactor,190.09535999999994,2,1,a,1
15,tactor,193.24927999999986,2,1,a,1
16,tactor,191.6928,2,1,a,1
17,tactor,207.91296000000003,2,1,a,1
18,tactor,215.49055999999987,2,1,a,1
19,tactor,220.61056000000002,2,1,a,1
0,tactor,510.32063999999997,2,2,a,1
1,tactor,194.68288,2,2,a,1
2,tactor,184.77056000000002,2,2,a,1
3,tactor,233.9635200000001,2,2,a,1
4,tactor,188.17024000000015,2,2,a,1
5,tactor,198.36927999999997,2,2,a,1
6,tactor,231.01439999999997,2,2,a,1
7,tactor,166.70720000000006,2,2,a,1
8,tactor,167.36255999999995,2,2,a,1
9,tactor,151.06048000000015,2,2,a,1
10,tactor,146.2271999999999,2,2,a,1
11,tactor,257.8841599999999,2,2,a,1
12,tactor,206.8889600000001,2,2,a,1
13,tactor,231.7926399999999,2,2,a,1
14,tactor,187.06431999999995,2,2,a,1
15,tactor,353.5667200000001,2,2,a,1
16,tactor,219.01311999999996,2,2,a,1
17,tactor,195.42015999999995,2,2,a,1
18,tactor,198.57407999999998,2,2,a,1
19,tactor,174.69440000000014,2,2,a,1
60,100 ms ,213.36064,2,1,b,0
61,100 ms ,257.26976,2,1,b,0
62,100 ms ,229.21216,2,1,b,0
63,100 ms ,266.64959999999996,2,1,b,0
64,100 ms ,190.464,2,1,b,0
65,100 ms ,183.296,2,1,b,0
66,100 ms ,299.54048,2,1,b,0
67,100 ms ,254.60736,2,1,b,0
68,100 ms ,303.7184,2,1,b,0
69,100 ms ,220.85631999999998,2,1,b,0
70,100 ms ,220.93824,2,1,b,0
71,100 ms ,344.30976000000004,2,1,b,0
72,100 ms ,302.12095999999997,2,1,b,0
73,100 ms ,320.02048,2,1,b,0
74,100 ms ,314.368,2,1,b,0
75,100 ms ,275.82464,2,1,b,0
76,100 ms ,303.43168,2,1,b,0
77,100 ms ,484.22912,2,1,b,0
78,100 ms ,316.94847999999996,2,1,b,0
79,100 ms ,301.54752,2,1,b,0
60,100 ms ,540.59008,2,2,b,0
61,100 ms ,205.70111999999997,2,2,b,0
62,100 ms ,233.22624,2,2,b,0
63,100 ms ,253.78815999999998,2,2,b,0
64,100 ms ,264.192,2,2,b,0
65,100 ms ,296.87808,2,2,b,0
67,100 ms ,264.64256,2,2,b,0
70,100 ms ,279.30624,2,2,b,0
71,100 ms ,270.09024,2,2,b,0
72,100 ms ,400.17920000000004,2,2,b,0
73,100 ms ,206.39744,2,2,b,0
75,100 ms ,205.6192,2,2,b,0
76,100 ms ,292.86400000000003,2,2,b,0
77,100 ms ,322.19136,2,2,b,0
78,100 ms ,333.53728,2,2,b,0
79,100 ms ,554.5574399999999,2,2,b,0
80,200 ms ,325.18144,2,1,c,0
81,200 ms ,251.61728,2,1,c,0
82,200 ms ,218.56256,2,1,c,0
83,200 ms ,211.51744,2,1,c,0
84,200 ms ,259.15391999999997,2,1,c,0
85,200 ms ,249.2416,2,1,c,0
86,200 ms ,276.60287999999997,2,1,c,0
87,200 ms ,224.74752,2,1,c,0
88,200 ms ,231.50592,2,1,c,0
89,200 ms ,373.30944,2,1,c,0
90,200 ms ,228.02432,2,1,c,0
91,200 ms ,279.79776,2,1,c,0
92,200 ms ,277.50399999999996,2,1,c,0
93,200 ms ,298.8032,2,1,c,0
94,200 ms ,249.6512,2,1,c,0
95,200 ms ,257.84319999999997,2,1,c,0
96,200 ms ,259.23584,2,1,c,0
97,200 ms ,255.09887999999998,2,1,c,0
98,200 ms ,285.9008,2,1,c,0
99,200 ms ,250.75712,2,1,c,0
80,200 ms ,226.01728,2,2,c,0
81,200 ms ,187.71968,2,2,c,0
82,200 ms ,238.01855999999998,2,2,c,0
83,200 ms ,293.10976,2,2,c,0
84,200 ms ,271.93344,2,2,c,0
85,200 ms ,250.75712,2,2,c,0
86,200 ms ,232.93952000000002,2,2,c,0
87,200 ms ,252.10880000000003,2,2,c,0
88,200 ms ,260.83328,2,2,c,0
89,200 ms ,244.69504,2,2,c,0
90,200 ms ,313.1392,2,2,c,0
91,200 ms ,256.86016,2,2,c,0
92,200 ms ,250.42944,2,2,c,0
93,200 ms ,254.73024,2,2,c,0
94,200 ms ,235.02848,2,2,c,0
95,200 ms ,292.78208,2,2,c,0
96,200 ms ,223.80544,2,2,c,0
97,200 ms ,262.67647999999997,2,2,c,0
98,200 ms ,278.20032,2,2,c,0
99,200 ms ,259.39968000000005,2,2,c,0
100,400 ms ,258.00704,2,1,d,0
101,400 ms ,267.18208,2,1,d,0
102,400 ms ,246.37439999999998,2,1,d,0
103,400 ms ,244.08064,2,1,d,0
104,400 ms ,170.5984,2,1,d,0
105,400 ms ,232.69376,2,1,d,0
106,400 ms ,184.89344,2,1,d,0
107,400 ms ,308.224,2,1,d,0
108,400 ms ,287.90784,2,1,d,0
109,400 ms ,246.49728000000002,2,1,d,0
110,400 ms ,260.01408,2,1,d,0
111,400 ms ,311.33696,2,1,d,0
112,400 ms ,251.86303999999998,2,1,d,0
113,400 ms ,239.8208,2,1,d,0
114,400 ms ,381.25568,2,1,d,0
115,400 ms ,307.2,2,1,d,0
116,400 ms ,269.39392000000004,2,1,d,0
117,400 ms ,285.16352,2,1,d,0
118,400 ms ,289.50527999999997,2,1,d,0
