,experiment,response time (ms),Subject,block,sortCol,typeOrder
4,touch,242.33535999999978,2,1,a,False
5,touch,180.8134400000001,2,1,a,False
6,touch,231.60384,2,1,a,False
7,touch,207.3555199999999,2,1,a,False
8,touch,224.19007999999997,2,1,a,False
9,touch,198.46719999999985,2,1,a,False
10,touch,194.16640000000007,2,1,a,False
11,touch,193.7977599999998,2,1,a,False
12,touch,237.05152000000007,2,1,a,False
13,touch,220.54463999999996,2,1,a,False
14,touch,191.13535999999996,2,1,a,False
15,touch,194.2892799999998,2,1,a,False
16,touch,192.73280000000003,2,1,a,False
17,touch,208.95296000000008,2,1,a,False
18,touch,216.53055999999992,2,1,a,False
19,touch,221.65056000000004,2,1,a,False
0,touch,511.36063999999993,2,2,a,False
1,touch,195.72287999999992,2,2,a,False
2,touch,185.81055999999995,2,2,a,False
3,touch,235.00352,2,2,a,False
4,touch,189.2102400000002,2,2,a,False
5,touch,199.40928000000002,2,2,a,False
6,touch,232.0544,2,2,a,False
7,touch,167.7472,2,2,a,False
8,touch,168.40255999999988,2,2,a,False
9,touch,152.1004800000001,2,2,a,False
11,touch,258.92415999999986,2,2,a,False
12,touch,207.92896000000016,2,2,a,False
13,touch,232.8326399999999,2,2,a,False
14,touch,188.1043199999999,2,2,a,False
15,touch,354.60672000000005,2,2,a,False
16,touch,220.05311999999998,2,2,a,False
17,touch,196.46016,2,2,a,False
18,touch,199.61407999999992,2,2,a,False
19,touch,175.73440000000008,2,2,a,False
60,100 ms ,213.36064,2,1,b,True
61,100 ms ,257.26976,2,1,b,True
62,100 ms ,229.21216,2,1,b,True
63,100 ms ,266.64959999999996,2,1,b,True
64,100 ms ,190.464,2,1,b,True
65,100 ms ,183.296,2,1,b,True
66,100 ms ,299.54048,2,1,b,True
67,100 ms ,254.60736,2,1,b,True
68,100 ms ,303.7184,2,1,b,True
69,100 ms ,220.85631999999998,2,1,b,True
70,100 ms ,220.93824,2,1,b,True
71,100 ms ,344.30976000000004,2,1,b,True
72,100 ms ,302.12095999999997,2,1,b,True
73,100 ms ,320.02048,2,1,b,True
74,100 ms ,314.368,2,1,b,True
75,100 ms ,275.82464,2,1,b,True
76,100 ms ,303.43168,2,1,b,True
77,100 ms ,484.22912,2,1,b,True
78,100 ms ,316.94847999999996,2,1,b,True
79,100 ms ,301.54752,2,1,b,True
60,100 ms ,540.59008,2,2,b,True
61,100 ms ,205.70111999999997,2,2,b,True
62,100 ms ,233.22624,2,2,b,True
63,100 ms ,253.78815999999998,2,2,b,True
64,100 ms ,264.192,2,2,b,True
65,100 ms ,296.87808,2,2,b,True
67,100 ms ,264.64256,2,2,b,True
70,100 ms ,279.30624,2,2,b,True
71,100 ms ,270.09024,2,2,b,True
72,100 ms ,400.17920000000004,2,2,b,True
73,100 ms ,206.39744,2,2,b,True
75,100 ms ,205.6192,2,2,b,True
76,100 ms ,292.86400000000003,2,2,b,True
77,100 ms ,322.19136,2,2,b,True
78,100 ms ,333.53728,2,2,b,True
79,100 ms ,554.5574399999999,2,2,b,True
80,200 ms ,325.18144,2,1,c,True
81,200 ms ,251.61728,2,1,c,True
82,200 ms ,218.56256,2,1,c,True
83,200 ms ,211.51744,2,1,c,True
84,200 ms ,259.15391999999997,2,1,c,True
85,200 ms ,249.2416,2,1,c,True
86,200 ms ,276.60287999999997,2,1,c,True
87,200 ms ,224.74752,2,1,c,True
